Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Issue_Original,Response_Type
CONV-0033,"Добрый день, компьютер не видит принтер, документ уходит в очередь, но ничего не происходит, раньше такого не было.",Переустановите драйверы принтера.,48 minutes,Hardware,Resolved,Низкая скорость работы системы,printer
CONV-0034,"Добрый день, не могу войти в аккаунт, после смены пароля вообще не пускает (AUTH_Password_Mismatch), раньше такого не было.",Сбросьте пароль по предоставленной ссылке.,5 minutes,Performance,Escalated,Низкая скорость работы системы,password
CONV-0035,"Установщик даже не запускается на рабочем компьютере, обрывается примерно на середине (ERROR_INSTALL_FAILURE).",Следуйте инструкции по установке программного обеспечения.,113 minutes,Network,Resolved,Нет доступа к электронной почте,install
CONV-0036,"Коллеги, документы застревают в очереди печати в офисе, пробовала перезапускать, не помогает.",Переустановите драйверы принтера.,52 minutes,Hardware,Resolved,Ошибка «синий экран»,printer
CONV-0037,"Доброго дня, wi-fi не подключается дома, пишет, что нет доступа к интернету.",Перезагрузите маршрутизатор.,9 minutes,Performance,Resolved after follow-up,Ошибка «синий экран»,wifi
CONV-0038,"Добрый день, установка по зависает из-под учётки администратора, обрывается примерно на середине, это продолжается уже несколько дней.",Следуйте инструкции по установке программного обеспечения.,37 minutes,Software,Resolved,Забыл(а) пароль,install
CONV-0039,"Всё открывается с большой задержкой при работе с браузером, окна откликаются через несколько секунд. Из-за этого страдает вся команда.",Очистите кэш и удалите ненужные программы.,86 minutes,Network,Escalated,Ошибка «синий экран»,performance
CONV-0040,"Пару раз появлялся синий экран при запуске нескольких приложений, очень боюсь потерять данные.",Запустите утилиту диагностики системы.,5 minutes,Performance,Pending,Сбой при установке программного обеспечения,diagnostic
CONV-0041,"Доброго времени суток, инсталлятор вылетает при установке на ноутбуке, пишет, что недостаточно прав, раньше всё работало нормально.",Следуйте инструкции по установке программного обеспечения.,67 minutes,Performance,Resolved,Не удаётся подключиться к Wi-Fi,install
CONV-0042,"Добрый день, сеть видна, но к ней не подключается только на моём ноутбуке, пишет, что неверный пароль, хотя он правильный (DNS_PROBE_FINISHED_NO_INTERNET), особенно критично в рабочее время.",Перезагрузите маршрутизатор.,73 minutes,Account,Escalated,Принтер не отвечает,wifi
CONV-0043,"Добрый день, не могу войти в аккаунт, особенно критично в рабочее время.",Сбросьте пароль по предоставленной ссылке.,66 minutes,Software,Resolved,Низкая скорость работы системы,password
CONV-0044,"Добрый вечер, программа после установки не зпаускается на ноутбуке, пишет, что файл повреждён.",Следуйте инструкции по установке программного обеспечения.,58 minutes,Hardware,Resolved after follow-up,Сбой при установке программного обеспечения,install
CONV-0045,"Здравствуйте, система не принимает мой пароль, вчера входил нормально, сегодня уже нет (AUTH_401_Invalid_Credentials), это продолжается второй день.",Сбросьте пароль по предоставленной ссылке.,120 minutes,Software,Escalated,Принтер не отвечает,password
CONV-0046,"Здравствуйте, всё открывается с большой задержкой, окна откликаются через несколько секунд.",Очистите кэш и удалите ненужные программы.,55 minutes,Performance,Pending,Забыл(а) пароль,performance
CONV-0047,"Добрый вечер, не получается установить программу на рабочем компьютере. Это начало происходить совсем недавно.",Следуйте инструкции по установке программного обеспечения.,120 minutes,Software,Resolved,Забыл(а) пароль,install
CONV-0048,"Здравствуйте, всё открывается с большой задержкой, раньше всё работало намного быстрее, раньше всё работало нормально.",Очистите кэш и удалите ненужные программы.,66 minutes,Network,Pending,Сбой при установке программного обеспечения,performance
CONV-0049,"Забыл пароль от учётной записи (AUTH_Token_Expired), из-за этого не успеваю сдавать задачи.",Сбросьте пароль по предоставленной ссылке.,25 minutes,Hardware,Resolved,Низкая скорость работы системы,password
CONV-0050,"Интернет отваливается постоянно на нескольких устройствах сразу, особенно когда начинаю созвоны!",Перезагрузите маршрутизатор.,119 minutes,Performance,Escalated,Сбой при установке программного обеспечения,wifi
CONV-0051,"Компьютер жутко тормозит при работе с браузером, окна откликаются через несколько секунд. А работать-то надо!",Очистите кэш и удалите ненужные программы.,71 minutes,Performance,Escalated,Нет доступа к электронной почте,performance
CONV-0052,"Добрый день, программа после установки не запускается после последнего обновления системы, пишет, что файл повреждён. Это начало происходить совсем недавно.",Следуйте инструкции по установке программного обеспечения.,58 minutes,Software,Resolved,Нет доступа к электронной почте,install
CONV-0053,"Появляются какие-то ошибки и сбои во время работы, пару раз был синий экран (0xC000021A).",Запустите утилиту диагностики системы.,107 minutes,Performance,Escalated,Забыл(а) пароль,diagnostic
CONV-0054,"Добрый вечер, почта не открывается через outlook, письма иногда доходят, иногда нет (SMTP_450_Mailbox_unavailable).",Проверьте настройки электронной почты.,91 minutes,Software,Escalated,Низкая скорость работы системы,email
CONV-0055,"Коллеги, документы застревают в очереди печати в офисе, документ уходит в очередь, но ничего не происходит.",Переустановите драйверы принтера.,83 minutes,Software,Escalated,Сбой при установке программного обеспечения,printer
CONV-0056,"Доброго времени суток, не могу отправить письма с рабочего компьютера, срочно нужно отправить отчёт, из-за этого не успеваю сдавать задачи.",Проверьте настройки электронной почты.,73 minutes,Performance,Escalated,Принтер не отвечает,email
CONV-0057,"Добрый день, появляются какие-то ошибки и сбои во время работы. Из-за этого сложно выполнять задачи вовремя.",Запустите утилиту диагностики системы.,51 minutes,Hardware,Resolved,Принтер не отвечает,diagnostic
CONV-0058,"Система стала очень медленной, раньше всё работало намного быстрее. А работать-то надо!",Очистите кэш и удалите ненужные программы.,14 minutes,Account,Resolved,Нет доступа к электронной почте,performance
CONV-0059,"Не приходят новые письма, пишет, что нет подключения к серверу (SMTP_450_Mailbox_unavailable), очень мешает работе.",Проверьте настройки электронной почты.,109 minutes,Network,Resolved after follow-up,Ошибка «синий экран»,email
CONV-0060,"Добрый вечер, ноутбук сильно лагает даже при открытии простых программ, окна откликаются через несколько секунд, раньше всё работало нормально.",Очистите кэш и удалите ненужные программы.,29 minutes,Performance,Resolved after follow-up,Низкая скорость работы системы,performance
CONV-0061,"Добрый вечер, не получается установить программу на рабочем компьютере, пишет, что файл повреждён. Это особенно мешает в рабочие часы.",Следуйте инструкции по установке программного обеспечения.,33 minutes,Hardware,Pending,Забыл(а) пароль,install
CONV-0062,"Добрый день, не получается установить программу на рабочем компьютере, пишет, что файл повреждён, раньше такого не было.",Следуйте инструкции по установке программного обеспечения.,56 minutes,Software,Resolved after follow-up,Нет доступа к электронной почте,install
CONV-0063,"Доброго времени суток, почта не открывается, срочно нужно отправить отчёт, очень мешает работе.",Проверьте настройки электронной почты.,7 minutes,Performance,Resolved after follow-up,Сбой при установке программного обеспечения,email
CONV-0064,"Система стала очень медленной после последнего обновления, курсор иногда зависает. А работать-то надо!",Очистите кэш и удалите ненужные программы.,105 minutes,Performance,Pending,Низкая скорость работы системы,performance
CONV-0065,"Здравствуйте, забыл пароль от учётной записи (AUTH_403_Account_Locked). А работать-то надо!",Сбросьте пароль по предоставленной ссылке.,56 minutes,Network,Resolved,Низкая скорость работы системы,password
CONV-0066,"Система не принимает мой пароль, пишет, что паорль неверный.",Сбросьте пароль по предоставленной ссылке.,90 minutes,Performance,Pending,Не удаётся подключиться к Wi-Fi,password
CONV-0067,"Здравствуйте, кажется, неправильно помню пароль, вчера входил нормально, сегодня уже нет.",Сбросьте пароль по предоставленной ссылке.,21 minutes,Hardware,Pending,Принтер не отвечает,password
CONV-0068,"Добрый день, компьютер ведёт себя странно при запуске нескольких приложений.",Запустите утилиту диагностики системы.,66 minutes,Performance,Resolved after follow-up,Нет доступа к электронной почте,diagnostic
CONV-0069,"Коллеги, принтер не печатает от моего компьютера, пробовала перезапускать, не помогает (0x00000709 — Printer cannot be selected), из-за этого не успеваю сдавать задачи.",Переустановите драйверы принтера.,14 minutes,Account,Resolved after follow-up,Ошибка «синий экран»,printer
CONV-0070,"Программа после установки не запускается на рабочем компьютере, пишет, что недостаточно прав. Из-за этоог постоянно срываются сроки.",Следуйте инструкции по установке программного обеспечения.,49 minutes,Software,Resolved after follow-up,Забыл(а) пароль,install
CONV-0071,"Принтер никак не реагирует на печать от моего компьютера, нужно срочно распечатать документы. Это начало происходить совсем недавно.",Переустановите драйверы принтера.,31 minutes,Software,Pending,Ошибка «синий экран»,printer
CONV-0072,"Добрый вечер, установка по зависает после последнего обновления системы, пишет, что недостаточно прав (0x80070002 — File not found).",Следуйте инструкции по установке программного обеспечения.,79 minutes,Network,Pending,Сбой при установке программного обеспечения,install
CONV-0073,"Привет, вайфай вообще не коннектится дома, раньше всё работало нормально, раньше такого не было.",Перезагрузите маршрутизатор.,6 minutes,Network,Resolved after follow-up,Нет доступа к электронной почте,wifi
CONV-0074,"Система стала очень медленной даже при открытии простых программ, работать в таком режиме невозможно.",Очистите кэш и удалите ненужные программы.,101 minutes,Account,Resolved after follow-up,Принтер не отвечает,performance
CONV-0075,"Здравствуйте, проблема с электронной почтой с ноутбука, пишет, что нет подключения к серверу (SMTP_550_User_not_found)!",Проверьте настройки электронной почты.,73 minutes,Network,Resolved,Нет доступа к электронной почте,email
CONV-0076,"Добрый вечер, инсталлятор вылетает при установке на рабочем компьютере, пишет, что недостаточно прав (0x80070005 — Access Denied), это продолжается второй день.",Следуйте инструкции по установке программного обеспечения.,68 minutes,Network,Resolved,Нет доступа к электронной почте,install
CONV-0077,"Здравствуйте, система периодически зависает и вылетает, после перезагрузки некоторое время всё нормально, потом снова (0x000000EF — Critical Process Died). Из-за этого сложно выполнять задачи вовремя.",Запустите утилиту диагностики системы.,38 minutes,Account,Resolved,Сбой при установке программного обеспечения,diagnostic
CONV-0078,"Почта не открывается, последние письма пришли несколько часов назад.",Проверьте настройки электронной почты.,63 minutes,Account,Resolved,Принтер не отвечает,email
CONV-0079,"Доброго времени суток, даже простые программы запускаются очень долго даже при открытии простых программ, раньше всё работало намного быстрее. Из-за этого сложно выполнять задачи вовремя.",Очистите кэш и удалите ненужные программы.,103 minutes,Network,Resolved,Принтер не отвечает,performance
CONV-0080,"Забыл пароль от учётной записи, вчера входил нормально, сегодня уже нет, раньше всё работало нормально.",Сбросьте пароль по предоставленной ссылке.,55 minutes,Hardware,Resolved after follow-up,Низкая скорость работы системы,password
CONV-0081,"Добрый вечер, программа после установки не запускается на ноутбуке, обрывается примерно на середине. Из-за этого сложно выполнять задачи вовремя.",Следуйте инструкции по установке программного обеспечения.,36 minutes,Software,Escalated,Не удаётся подключиться к Wi-Fi,install
CONV-0082,"Добрый вечер, компьютер жутко тормозит, окна откликаются через несколько секунд.",Очистите кэш и удалите ненужные программы.,103 minutes,Account,Resolved,Нет доступа к электронной почте,performance
CONV-0083,"Здравствуйте, принтер не печатает с разных приложений, пишет ошибку по драйверу (0x00000006 — Invalid Handle). Очень прошу помочь с этой проблемой.",Переустановите драйверы принтера.,26 minutes,Account,Escalated,Не удаётся подключиться к Wi-Fi,printer
CONV-0084,"Коллеги, принтер отображается, но не выводит ничего на бумагу от моего компьютера, пробовала перезапускать, не помогает, это продолжается второй день.",Переустановите драйверы принтера.,12 minutes,Account,Resolved after follow-up,Ошибка «синий экран»,printer
CONV-0085,"Доброго времени суток, установка по зависает из-под учётки администратора, пробовала переустанавливать несколько раз (0x80070002 — File not found), это продолжается второй день.",Следуйте инструкции по установке программного обеспечения.,118 minutes,Performance,Resolved after follow-up,Низкая скорость работы системы,install
CONV-0086,"Доброго времени суток, компьютер жутко тормозит даже при открытии простых программ, работать в таком режиме невозможно.",Очистите кэш и удалите ненужные программы.,28 minutes,Account,Resolved,Сбой при установке программного обеспечения,performance
CONV-0087,"Коллеги, принтер отображается, но не выводит ничего на бумагу от моего компьютера, пишет ошибку по драйверу. Изз-а этого страдает вся команда.",Переустановите драйверы принтера.,111 minutes,Hardware,Escalated,Ошибка «синий экран»,printer
CONV-0088,"Добрый день, забыл пароль от учётной записи, несколько раз блокировало вход после попыток. Это начало происходить совсем недавно.",Сбросьте пароль по предоставленной ссылке.,40 minutes,Hardware,Resolved,Низкая скорость работы системы,password
CONV-0089,"Добрый вечер, wi-fi не подключается, особенно когда начинаю созвоны. Из-за этого постоянно срываются сроки.",Перезагрузите маршрутизатор.,5 minutes,Network,Escalated,Не удаётся подключиться к Wi-Fi,wifi
CONV-0090,"Здравствуйте, установка по зависает из-под учётки администратора, пишет, что недостаточно прав, срочно нужно решить.",Следуйте инструкции по установке программного обеспечения.,19 minutes,Hardware,Resolved,Принтер не отвечает,install
CONV-0091,"Здравствуйте, система не принимает мой пароль, пишет, что пароль неверный (AUTH_Password_Mismatch).",Сбросьте пароль по предоставленной ссылке.,103 minutes,Software,Escalated,Принтер не отвечает,password
CONV-0092,"Добрый вечер, иногда всё зависает и помогает только перезагрузка во время работы, иногда выскакивает сообщение с ошибкой.",Запустите утилиту диагностики системы.,81 minutes,Performance,Resolved,Принтер не отвечает,diagnostic
CONV-0093,"Здравствуйте, даже простые программы запускаются очень долго при работе с браузером, очень мешает работе.",Очистите кэш и удалите ненужные программы.,67 minutes,Network,Resolved after follow-up,Не удаётся подключиться к Wi-Fi,performance
CONV-0094,"Не получается установить программу после последнего обновления системы, пишет, что недостаточно прав. А работать-то надо!",Следуйте инструкции по установке программного обеспечения.,62 minutes,Account,Pending,Ошибка «синий экран»,install
CONV-0095,"Не получается установить программу на рабочем компьютере, пробовала переустанавливать несколько раз.",Следуйте инструкции по установке программного обеспечения.,71 minutes,Software,Pending,Сбой при установке программного обеспечения,install
CONV-0096,"Коллеги, wi-fi не подключается на рабочем месте, пишет, что неверный пароль, хотя он правильный, это продолжается уже несколько дней.",Перезагрузите маршрутизатор.,19 minutes,Network,Escalated,Не удаётся подключиться к Wi-Fi,wifi
CONV-0097,"Принтер отображается, но не выводит ничего на бумагу от моего компьютера, из-за этого не успеваю сдавать задачи.",Переустановите драйверы принтера.,93 minutes,Account,Escalated,Принтер не отвечает,printer
CONV-0098,"Добрый день, принтер не печатает от моего компьютера, документ уходти в очередь, но ничего не происходит. А работать-то надо!",Переустановите драйверы принтера.,20 minutes,Hardware,Escalated,Принтер не отвечает,printer
CONV-0099,"Добрый день, забыл пароль от учётной записи, восстановление по почте не приходит (AUTH_Token_Expired). Из-за этого постоянно срываются сроки.",Сбросьте пароль по предоставленной ссылке.,48 minutes,Hardware,Escalated,Ошибка «синий экран»,password
CONV-0100,"Принтер не печатает по сети, пробовала перезапускать, не помогает (Printer_Driver_Missing_0x0000007e), это продолжается уже несколько дней.",Переустановите драйверы принтера.,14 minutes,Performance,Pending,Низкая скорость работы системы,printer
CONV-0101,"Здравствуйте, установщик даже не запускается на ноутбуке, пробовала переустанавливать несколько раз, раньше всё работало нормально.",Следуйте инструкции по установке программного обеспечения.,20 minutes,Hardware,Pending,Принтер не отвечает,install
CONV-0102,"Добрый день, всё открывается с большой задержкой после последнего обновления, курсор иногда зависает.",Очистите кэш и удалите ненужные программы.,52 minutes,Hardware,Resolved after follow-up,Нет доступа к электронной почте,performance
CONV-0103,"Добрый день, принтер никак не реагирует на печать по сети. Это особенно мешает в рабочие часы.",Переустановите драйверы принтера.,84 minutes,Account,Resolved after follow-up,Ошибка «синий экран»,printer
CONV-0104,"Компьютер не видит принтер, пробовала перезапускать, не помогает, раньше всё работало нормально.",Переустановите драйверы принтера.,80 minutes,Performance,Escalated,Низкая скорость работы системы,printer
CONV-0105,"Доброго времени суток, система стала очень медленной при одновременном открытии нескольких приложений, курсор иногда зависает, раньше такого не было.",Очистите кэш и удалите ненужные программы.,72 minutes,Account,Resolved after follow-up,Сбой при установке программного обеспечения,performance
CONV-0106,"Коллеги, не приходят новые письма с рабочего компьютера, письма иногда доходят, иногда нет (Exchange_500_InternalServerError). Это особенно мешает в рабочие часы.",Проверьте настройки электронной почты.,39 minutes,Performance,Resolved,Принтер не отвечает,email
CONV-0107,"Здравствуйте, инсталлятор вылетает при установке из-под учётки администратора, обрывается примерно на середине, особенно критично в рабочее время.",Следуйте инструкции по установке программного обеспечения.,16 minutes,Performance,Escalated,Низкая скорость работы системы,install
CONV-0108,"Добрый день, не могу отправить письма через веб-интерфейс, из-за этого не успеваю сдавать задачи.",Проверьте настройки электронной почты.,57 minutes,Account,Pending,Не удаётся подключиться к Wi-Fi,email
CONV-0109,"Здравствуйте, кажется, неправильно помню пароль, после смены пароля вообще не пускает, очень мешает работе.",Сбросьте пароль по предоставленной ссылке.,41 minutes,Performance,Escalated,Сбой при установке программного обеспечения,password
CONV-0110,"Здравствуйте, не получается установить программу на рабочем компьютере, пишет, что недостаточно прав.",Следуйте инструкции по установке программного обеспечения.,23 minutes,Hardware,Resolved,Ошибка «синий экран»,install
CONV-0111,"Компьютер ведёт себя странно при запуске нескольких приложений, после перезагрузки некоторое время всё нормально, потом снова, особенно критично в рабочее время.",Запустите утилиту диагностики системы.,110 minutes,Performance,Resolved,Не удаётся подключиться к Wi-Fi,diagnostic
CONV-0112,"Доброго времени суток, пару раз появлялся синий экран при запуске программ, после перезагрузки некоторое время всё нормально, потом снова (0x000000EF — Critical Process Died). Из-за этого страдает вся команда.",Запустите утилиту диагностики системы.,110 minutes,Hardware,Resolved after follow-up,Принтер не отвечает,diagnostic
